transactionNo1 , 01-01-2017 11:27 , pay bill , KPLC  , - , 888880 , 1000 , 285 
transactionNo2 , 01-01-2017 11:04 , pay bill , KPLC  , - , 888880 , 1200 , 385 
transactionNo3 , 31-12-2016 10:58 , received , personOneNameA personOneNameB , phoneNopersonOne , - , 527 , 527 
transactionNo4 , 02-12-2016 14:49 , airtime purchase , safaricom limited , - , 999999999 , 50 , 16 
transactionNo5 , 02-12-2016 14:07 , withdraw , gazeti ltd kahawa wendani next to ahadi house agg ,- , 181137 , 2900 , 66 
transactionNo6 , 02-12-2016 13:59 , ,equity bulk account , 300600 , - ,3000 , 3015 
transactionNo7 , 01-12-2016 11:54 , airtime purchase , safaricom limited ,- , 999999999 , 5 , 15 
transactionNo8 ,  01-12-2016 11:54 , airtime purchase , safaricom limited ,- , 999999999 , 10 , 20 
transactionNo9 , 30-11-2016 17:29 , withdraw , sagiir comms el-shaddai beauty line joanje plaza n , - , 490445 , 450 , 30 
transactionNo10 , 30-11-2016 17:21 , ,equity bulk account , 300600 , - , 500 , 507 
transactionNo11 , 14-10-2016 14:23 , withdraw , kats comms services smartphone shop behind eastmat , - , 284659 , 325 , 7 
transactionNo12 , 14-10-2016 11:21 , received , personTwoNameA personTwoNameB personOneNameA , phoneNopersonTwo , - , 327 , 359 
transactionNo13 , 14-10-2016 10:30 , send , personThreeNameA personThreeNameB , - , phoneNopersonThree , 230 , 32 
transactionNo14 , 14-10-2016 10:28 , deposit , basil comms naki traders roysambo agg , 317244 , - , 230 , 273 
transactionNo15 , 07-10-2016 13:10 , withdraw , jobliu uchumi house , - , 333002 , 950 , 43 
transactionNo16 , 17-09-2016 19:57 , withdraw , wimtech comms south tetu exhibiton stall no 8 oppo , - , 152285 , 200 , 3 
